chaleco
chile
yahuuaa
onda
ajuaa
albur
alivianar
ándale
ambrosía
apretada
arma
atizar mota
azotarse
barajearla
basculiar
blanquillo
bolsear
bronca
burrocrata
caballo
cadaverizar
calabaza
clarin
corcholata
cuico
chafirete
chance
chido
chinga
chingao
atole
hueva
fajarse
fría
fusca
gata
gatear
guevon
tamales
híjole
huacho
hueva
jalada
lana
latir
madrazo
mamada
metiche
naco
neta
pex
mames
puñal
wey
