vos 
sos 
che 
pibe 
mina 
tomar 
laburo 
changa 
morfar 
chupar 
pochoclos 
rebien 
pucho 
copado 
boludo 
cheto 
cachito 
plomo 
grasa 
ortiva 
vigilante 
cabezon 
chamuyar 
versear 
currar 
afanar
chorear
chorro 
cana
milico 
boga 
linyera 
bondi 
posta 
coger 
guita 
naso 
trompa 
bocha 
gamba 
gauchada 
gaucho
gaucha
tinto 
tipo 
capo 
groso 
boton 
salame 
enojo
tanque
