vale
coña
broma
polla
ostia
joder
guarro
coñazo
gafe
chorrada
piro
currar
curro
mola
mogollón
tronco
perras
gilipollas
colegas
flipar
maja
cachas
guay
morro
chorvo
pedo
chavala
peten
putada
enchochado
churri
maderos
trena
pasma
gamberro
macarra
verbenero
putón
grillado
